subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Property valuation and financial analysis,Which of the following is not an example of functional obsolescence:,a swimming pool in cold climate.,proximity of obnoxious nuisances.,an old kitchen.,a one car garage.,b,b — Functional obsolescence applies to aspects within the property. External conditions may represent an economic obsolescence.
Property valuation and financial analysis,Which of these most nearly refers to a loss in value due to economic obsolescence:,an architectural design which is out of style.,a zoning change.,improper maintenance of the property.,an increased demand for more luxurious units.,b,"b — When demand for a property type changes, it can cause a diminished value for existing buildings. Answer selection B. a zoning change is the best answer since it suggests a need for an entirely different property use."
Property valuation and financial analysis,Which of these factors does not contribute to obsolescence?,Misplaced improvements.,Out-of-date equipment.,Changes in traffic patterns.,Worn out carpeting.,d,"d — Worn out carpeting is an example of physical deterioration, not an obsolescence."
Property valuation and financial analysis,Which of the following appraisal reports is the most detailed?,Summary report.,Restricted use report.,Narrative report.,Oral report.,c,"c — Among the written reports, a narrative report is the most detailed and the restricted use is the least."
Property valuation and financial analysis,The ultimate test to determine the functional utility of a property is the:,property’s maintenance costs.,property’s marketability.,building codes controlling the property’s use.,zoning laws where the property is located.,b,b — Marketability is the ultimate test.
Property valuation and financial analysis,Which of the following does a property owner not show as an expense?,management fees.,depreciation.,utilities.,property taxes.,b,b — Only depreciation is a non-cash factor.
Property valuation and financial analysis,"In using the capitalization process, which of the following cannot be deducted to determine the net income?",Electricity.,Maintenance expense.,Management.,Debt service.,d,"d — Just as finance is not a consideration in appraisal (see Question 15), the debt service would also not apply."
Property valuation and financial analysis,The gross rent multiplier (GRM) is calculated by dividing:,gross monthly rents by market value.,gross monthly rents by selling price.,net monthly rents by market value.,sales price by gross monthly rents.,d,d — Review Questions 3 and 9 for example calculations for determining the gross rent multiplier (GRM).
Property valuation and financial analysis,"To calculate a capitalization rate (cap rate), the appraiser uses which of the following methods:",market comparison.,band of investment.,summation.,Any of the above.,d,d — Any of these can be applied.
Property valuation and financial analysis,An analysis of rental income does not determine the income’s:,durability.,quantity.,quality.,suitability for reinvestment.,d,"d — As applied to rental income, durability = longevity; quantity = amount of rent; quality = assurance of payment."
Property valuation and financial analysis,John is considering an extensive modernization program for an older apartment building he owns. His decision should give most emphasis to:,actual cost.,history of vacancy.,potential increase in rents.,effect on the net income.,d,d — Net income is the key. Increased rents may generate even higher costs.
Property valuation and financial analysis,The term “highest and best use” can best be defined as:,the use that produces the biggest building.,the use that produces the highest building.,the use that produces the greatest gross income.,the use that creates the greatest net return.,d,"d — Once again, net results are the most relevant. The maximum productivity that generates the greatest net return is the highest and best use."
Property valuation and financial analysis,An appraiser uses a site analysis to determine the:,highest and best use of a property.,appropriate zoning designation for a property.,type of soil under an improved property.,comparable values of similar properties.,a,a — The purpose of a site analysis is to determine the highest and best use of a property.
Property valuation and financial analysis,Which of the following is not a force that influences value?,Economic.,Social.,Demand.,Physical.,c,"c — The forces are: Physical, Economic, Government, and Social (PEGS). Demand is one of the elements of value, not an influence on value."
Property valuation and financial analysis,Which of the following is ethical for an appraiser to do?,Establish a minimum value prior to accepting the assignment.,Use other than accepted methodology in an appraisal assignment.,Base the appraisal fee as a percentage of property value.,"Appraise a property in which the appraiser has an interest, provided they first disclose their interest in the property.",d,d — Disclosure is what makes this answer ethical. Note that none of the other choices are acceptable.
Property valuation and financial analysis,"All of the following are essential elements of value, except:",anticipation.,demand.,scarcity.,utility.,a,a — Anticipation is a principle. The elements of value are listed in Question 8. Notice it is not unusual to recognize answers for questions embedded in other questions and answer selections.
Property valuation and financial analysis,When comparing the economic life and the physical life of an improvement:,economic life is shorter.,economic life is the same as the physical life.,economic life is longer.,physical life is shorter.,a,a — A building will become economically undesirable long before it is physically unusable.
Property valuation and financial analysis,An appraiser defines depreciation as:,economic obsolescence.,loss in value from any cause.,wear and tear of the improvements.,recapture that has been realized.,b,b — A loss in value is the best answer. Economic obsolescence happens off the property. Wear and tear is dealt with through proper maintenance.
Property valuation and financial analysis,"To depreciate real estate, it needs to be:",free of debt.,encumbered.,improved.,"1,000 square feet or larger.",c,c — There must be an improvement to calculate depreciation. Raw land cannot depreciate in value.
Property valuation and financial analysis,Which of the following is a cost associated with home ownership:,amenity value.,loss in value as a result of adverse zoning.,loss of interest on owner’s equity.,improvement appreciation.,c,c — The owner’s equity invested into a property cannot earn interest as it does when deposited in the bank.
Property valuation and financial analysis,Which of the following approaches to valuation yields the highest estimate of value?,market comparison.,reproduction.,substitution.,comparable sales.,b,"b — Reproduction is a version of the cost approach. Generally, the cost approach produces the highest estimate of value of all the appraisal methods. The income approach generates the lowest estimate of value."
Property valuation and financial analysis,"When appraising a special purpose property, an appraiser uses the:",cost approach.,capitalization method.,market data approach.,land residual approach.,a,"a — A special purpose property will not have sufficient comparable sales to generate a valid analysis nor an income to produce an accurate value. Therefore, the cost approach is the only appropriate approach to determine value."
Property valuation and financial analysis,"To calculate replacement cost, compute the cost to replace:",an equally desirable property with the same utility value.,the identical structure using the original materials.,the identical structure using modern materials.,the most economical structure having the same utility value.,a,a — A replacement property is to produce a similar level of utility and be as desirable as the subject property.
Property valuation and financial analysis,Which of the following is not a part of the cost approach appraisal method?,Unit-in-place.,Capitalization.,Quantity survey.,Index method.,b,b — Capitalization is an income approach method. Unit-in-place is a sub-element of construction. The index method is for historic cost valuations. Quantity survey is the most detailed method used by sub-contractors when making bids on projects.
Property valuation and financial analysis,Appraisers attempt to estimate the value of real estate. The value is:,derived from an income analysis.,based solely on the reproduction cost.,projected from the original cost.,based on an analysis of facts as of a specified date.,d,"d — This is the best answer. Income analysis and reproduction costs may play a part in the decision but are not exclusively correct. Thus, answer selection D best states how an appraiser estimates value."
Property valuation and financial analysis,"When conducting an appraisal, an appraiser considers all the following except:",the definition of value.,the highest and best use of a property.,the assessed value of a property.,the legal description of a property.,c,c — The assessed value is the county tax assessor’s determination of value for the purposes of calculating property taxes.
Property valuation and financial analysis,The first step in the appraisal process is to:,set the appraisal fee.,gather data.,define the problem.,analyze data.,c,"c — Like in any similar effort, you must first define what the problem is."
Property valuation and financial analysis,An appraisal is made as of a given date to indicate:,when the appraiser inspected the property.,the loan balance at the time of the appraisal.,the market condition at the time the appraisal was completed.,the true age of the property.,c,c — The best answer selection here is C. An appraisal is an objective opinion of value based on the market conditions at a specific time.
Property valuation and financial analysis,"Based on recent comparable sales, an agent’s opinion of a property’s fair market value (FMV) is referred to as a(n):",broker price opinion (BPO).,comp.,appraisal.,home inspection report.,a,a — The broker’s price opinion (BPO) is based on comparable sales only.
Property valuation and financial analysis,The statement “more buildings are torn down than wear out” is an illustration of:,physical deterioration.,functional obsolescence.,economic obsolescence.,accelerated depreciation.,c,c — The fact that buildings are torn down that are not yet physically worn out suggests economic obsolescence. Market expectations will drive many of these decisions.
Property valuation and financial analysis,The capitalization method of the income approach determines:,the value of a property based on its net operating income (NOI).,the effective interest rate on the debt encumbering the property.,the value of the property based on its gross operating income.,the property owner’s net worth.,a,a — The capitalization method uses an income-producing property’s net operating income (NOI). The gross rent multiplier (GRM) method uses the gross rent generated by an incomeproducing property.
Property valuation and financial analysis,"When comparable sales are unavailable or inadequate and a property generates no income, an appraiser would likely use the:",capitalization approach.,gross multiplier approach.,cost approach.,sales comparison approach.,c,"c — The cost approach is the best answer selection. As the property does not generate income, neither answer selection A or B are applicable as they are both based on the income approach. Further, answer selection D may be eliminated as there is insufficient sales data of comparable properties available to make a comparison."
Property valuation and financial analysis,"When a residence has a physical age of 20 years, but the appraiser notes the building has the appearance of being only 10 years old, the appraiser is referring to:",effective age.,economic life.,actual age.,progressive age.,a,a — Effective age refers to the 10 year old condition of the property. Actual age is 20 years.
Property valuation and financial analysis,"All of the following are included in the laws governing the government power of eminent domain, except:",the right of the government to take property from the owner for a legitimate public use.,a condemnation action in court.,compensation at fair market value (FMV).,the exercise of zoning authority.,d,d — Eminent domain has no specific relevance to zoning. The consideration that must be paid to the owner is the fair market value (FMV) of the property which is determined as the price a willing buyer would pay to a willing seller when the property has had adequate exposure on the market and neither party is under any duress.
Property valuation and financial analysis,The loan-to-value ratio (LTV) is best described as:,the ratio of the loan to the sales price.,the ratio of the loan to the appraised value of the property.,the loan as a percent of assessed value.,the loan as a percent of interest.,b,"b — The loan-to-value ratio (LTV) reflects the mortgage balance as a percentage of the mortgaged property’s fair market value (FMV). Lenders will loan against the sales price or the value of the property as determined by an appraisal, whichever is lower."
Property valuation and financial analysis,"Compared to a property’s physical life, economic life is generally:",shorter.,longer.,about the same.,varies with property type.,a,"a — This is similar to Question 37. Note that economic life represents the length of time a building produces a reasonable return. Alternatively, physical life is based on how long the building would remain physically standing. Thus, a property’s economic life is the shorter of the two."
Property valuation and financial analysis,"Return on investment (ROI) comes in the form of profit, while return of investment comes in the form of:",rents.,taxes.,depreciation.,appreciation.,c,"c — While the return on investment is profit, the return of investment is the recuperation of the investment through depreciation."
Property valuation and financial analysis,"When an appraiser values a property under the cost approach, they add the value of the site to the depreciated cost new of improvements. If the value of a site is $150,000, the cost to build a new house is $300,000, the cost to build a new garage is$75,000, and the value of site improvements such as landscaping and the driveway are $75,000, what is the final value of the property under the cost approach when a 20% physical depreciation factor is applied?","$510,000.00","$480,000.00","$525,000.00","$375,000.00",c,"c — The cost approach requires the appraiser to adjust the house and garage costs, known as the “cost new” of constructed improvements, by a depreciation factor. Thus: $300,000 (house) + $75,000 (garage) = $375,000 x 0.2 (20% depreciation) = $75,000. Then subtract the depreciation amount from the cost new. $375,000 (cost new) - $75,000 (accrued depreciation) = $300,000 (depreciated cost new). Finally, add the various amounts: $150,000 (site) + $300,000 (depreciated construction costs) + $75,000 (site improvements) = $525,000."
Financing,A second trust deed can be distinguished from a first trust deed by:,the heading of the instrument.,the information contained in the note.,the time and date of recording.,agreement of the principals.,c,c — The priority of trust deeds is determined by the time and date of recording.
Financing,Which of the following is true regarding promissory notes?,They are used as security for trust deeds.,"Discounting a note indicates it is being sold at more than the face value, or the amount still owing on the principal.",They are always used when real state is sold.,They are the evidence of the debt.,d,"d — Promissory notes are the evidence of debt. Trust deeds are security for debt. Though promissory notes and trust deeds are frequently used as the loan instruments, there are alternatives, such as a land sales contract. Note when the word “always” appears in an answer choice, one exception defeats its accuracy."
Financing,Hypothecate means:,to give a thing as security without giving possession.,to sell.,to substitute.,to alienate.,a,a — To hypothecate is to offer property (real or personal) as security for a loan without giving up possession.
Financing,Who generally benefit the most by a subordination clause in a trust deed?,The beneficiary.,The trustor.,The trustee.,The county tax assessor.,b,"b — The borrower (trustor) benefits the most from a subordination clause since this makes it easier to obtain an additional loan on their property. For example, the buyer of vacant land can obtain a construction loan more easily if the loan against the land will be subordinated to the construction loan."
Financing,Total foreclosure time under a trustee’s sale on a trust deed is minimally:,one year.,fifteen months.,three months.,four months.,d,"d — A trustee’s sale includes a three month redemption period followed by three weeks of advertising the sale for a total just short of four months if the sale is processed without any delay. In practice, it is generally longer."
Financing,The beneficiary of a trust deed is most likely a:,buyer.,bank.,trustee.,borrower.,b,"b — The beneficiary is the lender. Therefore, the only answer selection that applies is the bank."
Financing,A clause in a trust deed calling for an assignment of rents most benefits the:,trustee.,trustor.,purchaser.,beneficiary.,d,d — An assignment of rents clause allows the lender to collect the rents on an income-producing property when the borrower defaults on the underlying loan.
Financing,On each payment of an amortized loan:,the same amount applies to principal each month.,there will be a balloon payment.,the amount applying to the principal increases with each payment.,the amount applying to the interest increases with each payment. cramdown implicit rent intermediation negative equity nonrecourse mortgage REO property recourse shadow inventory teaser rate tranches Exam Jargon Specialized real estate terminology related to financing. See the Real estate glossary on page 309 for the full definitions.,c,"c — With an amortized loan, whether fully or only partially amortized, the balance of the loan is reduced with each payment. Therefore, the interest portion of the payment decreases and the principal portion increases with each payment made."
Financing,Which of the following are most related to each other?,Taxes and insurance.,Points and interest.,Assessment and book value.,Interest and taxes.,b,"b — While all answer selections relate to one another, points and prepaid interest are synonymous, making this answer selection the best match."
Financing,"In the context of mortgage finance, a beneficiary statement is made:",to designate the person who will receive the property in the event of the borrower’s death.,"by the insurer, stating the amount that will be paid to the policyholder if the improvements are destroyed.",by the lender to state the current balance required to pay off a real estate loan.,"by the homeowner, listing the beneficial features of an assumable loan.",c,c — A lender (beneficiary) delivers a beneficiary statement to escrow as a statement of required funds to release the existing debt.
Financing,A CalVET buyer finances the property with a:,trust deed and note.,contract of sale.,mortgage.,lease with an option to purchase.,b,b — CalVET loans are land contract purchases with the state functioning as the vendor.
Financing,"When the debt has been paid in full, the trustee will record what legal instrument to remove the lien on a trust deed from the public record?",Statement of complete release.,Satisfaction of payment.,Redemption certificate.,Reconveyance deed.,d,d — A trustee records a reconveyence deed to release a trust deed.
Financing,In a period of deflation:,the value of money increases.,profits increase.,the gross national product increases.,the value of commodities increase.,a,a — Deflation is the opposite of inflation where money becomes worth less.
Financing,"When the Federal Reserve (the Fed) increases the reserve requirements, referred to as tight money policy, it will:",result in more construction starts.,increase the supply of funds available for making real estate loans.,reduce deflationary pressures.,decrease loan activity.,d,"d — The tightening of money allows less money to be available for lending, resulting in a decrease of loan activity."
Financing,"If a lender accepts a deed-in-lieu of foreclosure, the lender:",also receives a power of sale from the trustor.,takes ownership of the property free and clear of all liens.,goes to court and get a deficiency judgment.,assumes any junior liens.,d,"d — When the holder of the first trust deed accepts a deed-in-lieu, they become responsible for all liens junior to their position."
Financing,"Gale is the beneficiary of a $1,500,000 deed of trust on a single family home. Frank, the trustor, made $200,000 in payments before going into default. At the trustee’s sale, the property sold for $1,000,000, resulting in a $300,000 deficiency. In California, a deficiency judgment cannot be obtained:",if the security is a purchase money trust deed.,if foreclosed through a trustee’s sale.,if the fair market value (FMV) of the property exceeds the amount due on the trust deed.,Any of the above.,d,"d — In order to receive a deficiency judgment, a mortgage holder must use the judicial foreclosure option rather than a trustee’s sale."
Financing,"When a borrower defaults on a loan and the lender initiates judicial foreclosure, the right of possession to the property is held by the during the redemption period.",mortgagee,commissioner designated by the court,mortgagor,sheriff,c,c — The borrower (mortgagor) has possession during the redemption period.
Financing,An owner’s right to bring current any monetary or curable default stated in the notice of default (NOD) prior to five business days before the date of the sale is called:,refurbishment.,rejuvenation.,reinstatement.,redemption.,c,"c — When full payment of arrears and costs have been made, the loan has been reinstated, bringing the loan current and placing the borrower in good standing."
Financing,"Bruce sold his home for $215,000 to Maria and carried back a $150,000 note with interest at 6% per annum. The note was secured by a first trust deed. The home had a fair market value (FMV) of $200,000. Later, Bruce sold the trust deed and note at a discounted price of $135,000 to Syndi. On the back of the note, Bruce wrote, “I hereby assign the within note to Syndi without recourse.” If Maria defaults before any principal payments are made, Syndi’s best legal remedy is to:","foreclose to recover the $135,000 investment.",do nothing since she has no recourse as an investor who purchased an existing loan and has no right to foreclose.,sue her assignor.,"foreclose to enforce payment of the $150,000.",d,d — The demand would be on Maria for the full amount of the monies owed regardless of the discounted price paid for the note.
Financing,The power to sell a property in the event of a default under the terms of the trust deed is given by:,trustee to the trustor.,buyer to the beneficiary.,buyer to the seller.,trustor to the trustee.,d,d — It is the borrower (trustor) who gives the authority to sell to the trustee.
Financing,Which of the following entity does not buy loans in the secondary mortgage market?,Freddie Mac.,Ginnie Mae.,Fannie Mae.,Federal Housing Administration (FHA).,d,d — The Federal Housing Administration (FHA) is neither the lender nor purchaser of loans on the secondary mortgage market. The FHA acts as an insurer of the loan which is originated by a lender or mortgage company.
Financing,Which of the following loans would be most likely to qualify for Federal Housing Administration (FHA) insurance but not for a Veterans Administration (VA) loan guarantee?,A loan to fund the purchase of agricultural land.,A loan to fund the purchase of one-to-four units of residential rental property.,A loan to fund the purchase of a motel.,A loan to fund the purchase of an existing business.,b,"b — While neither the Federal Housing Administration (FHA) or Veterans Administration (VA) will guarantee properties intended for business (motel or agriculture included), FHA will do small residential rentals (one-to-four units)."
Financing,The primary purpose behind the creation of the Federal National Mortgage Association (FNMA) was:,to increase the money available to housing.,to provide funds to large home builders in urbanized areas.,"to lend money on FHA Title II loans when banks, savings and loan associations, or private lenders are unwilling to do so.",to supervise public lending agency associations.,a,"a — The Federal National Mortgage Association (FNMA) was created to repurchase qualifying loans, thus placing cash in the lenders’ hands to facilitate a continuing source of monies to loan."
Financing,"In real estate loans, the term “impounds” most nearly means:",attachments.,reserves.,court action.,short rate.,b,"b — When a lender requires impounds, they are demanding that monthly payments be made to establish a reserve fund to pay future property tax and insurance expenses."
Financing,Inflation can be seen in the:,increase in the cost of living.,reduction of interest rates.,existence of tight monetary policy.,tightening of loan policies.,a,"a — Inflation is the reverse of deflation (see Question 13). Therefore, money becomes worth less and products become more expensive."
Financing,"Marta borrowed $25,000 on a straight note. In eight months, she paid $1,500. What was the interest rate:",8%.,9%.,10%.,Cannot be calculated.,b,"b — This question calls for an interest rate calculation using the following formula: Interest = Principal x Rate x Time (I = PRT). $1,500 = $25,000 x R x 8/12 1,500 = 25,000 x R x 0.667 1,500 = 16,667 x R 1,500 / 16,667 = (16,667 x R) / 16,667 0.09 = R or 9%"
Financing,Which of the following does not directly affect the level and movement of mortgage interest rates:,demand for funds.,supply of funds.,inflation rate.,unemployment rate.,d,d — Supply and demand affects the return a lender can charge on a loan. Inflation is a risk factor that a lender adds to the yield required to fund. Unemployment indirectly influences the level and movement of mortgage interest rates through actions of the Federal Reserve (the Fed).
Financing,The term warehousing in reference to mortgage financing describes:,industrial property loans.,jumbo residential loans.,a mortgage broker who arranges loans for an individual borrower.,a mortgage broker who packages loans prior to their sale on the secondary market.,d,d — Warehousing in finance is similar to a retailer concept. Mortgage brokers bundle loans for sale on the secondary market.
Financing,The release clause in a trust deed is there to release:,the escrow company of liability.,a borrower from certain obligations.,the lender from future obligations.,"some properties upon partial payment, when more than one property is used as security for the debt.",d,"d — When several properties are securing one loan, known as a blanket mortgage, a release clause allows individual properties to be withdrawn from the obligation."
Financing,A homebuyer may rescind a purchase contract on a property for:,1 day.,3 days.,1 week.,10 days.,b,b — The statutory right to rescind certain contracts runs for a three day period starting from the date the contract is entered into.
Financing,One of the primary purposes of the Real Estate Settlement Procedures Act (RESPA) is to:,set the settlement costs in all real estate transactions.,standardize the prices of settlement costs on one-to-four unit residential properties.,provide consumers with enough information to enable them to effectively shop for settlement services.,standardize settlement services throughout the United States.,c,"c — While standardizing costs may seem likely a reasonable goal, the Real Estate Settlement Procedures Act (RESPA) is primarily intended to insure that consumers are not being charged hidden fees and have the information they need to make an educated decision between competing lenders."
Financing,Most junior loans are originated by:,private sources.,commercial banks.,savings and loans associations.,insurance companies.,a,a — Junior loans typically are originated by private sources – most often the seller of the property who extends carryback financing to the buyer.
Financing,The phrase “the secondary mortgage market” refers to:,government bonds.,junior trust deeds.,the kind of loans made by insurance companies or pension funds.,a resale marketplace for existing trust deed loans.,d,d — Don’t confuse “second trust deed” with “secondary mortgage market.” The secondary mortgage market is where lenders resell bundled loans.
Financing,A note payable for “interest only” is called a(n):,straight note.,amortized loan.,nonnegotiable note.,hard money loan.,a,a — Interest only loans are those that are not amortized as payments are not applied to the underlying principal.
Financing,"When the buyer takes title to the property subject to the existing loan, “subject to” most nearly means:",both the buyer and seller will then be equally liable for the loan.,the seller has no liability for the loan.,only the buyer will be liable for the loan.,the buyer will not be personally liable for the loan.,d,"d — As opposed to assuming a loan, when the buyer takes title “subject to” an existing loan, the seller remains liable for the debt."
Financing,A(n) provision in a trust deed allows future loans on the property to have priority.,agency clause,release clause,subordination clause,mediation clause,c,c — To subordinate a loan indicates the loan is to take a secondary position. In finance this implies that future loans will have a priority over the subordinated loan.
Financing,"Under the Federal Truth-in-Lending Act (TILA), the cost of credit is expressed as:",a maximum percentage rate.,an annual percentage rate.,a minimum percentage rate.,the annual interest rate.,b,b — Financing costs are stated as an annual percentage rate (APR).
Financing,Regulation Z (Reg Z) of the Federal Truth-in-Lending Act (TILA) gives the borrower a 3 day right of rescission when the loan is:,a purchase money loan secured by a deed of trust on commercial property.,a loan to refinance the borrower’s personal residence.,"a Federal Housing Administration (FHA) or Veterans Administration (VA) loan to purchase a single family, owner occupied residence.",a loan to purchase a commercial building.,b,"b — Regulation Z (Reg Z) of the Federal Truth-in-Lending Act (TILA) applies to oneto- four unit residential properties, therefore answer selections A and D do not apply. Further government loans have their own restrictions."
Financing,The real estate loan that allows interest rates to increase or decrease depending on money market conditions is called a(n):,interim loan.,secured loan.,adjustable interest rate loan.,fluctuating market condition loan.,c,"c — An adjustable interest rate loan, also known as an adjustable rate mortgage (ARM), allows for interest rate fluctuations based on changes in an agreed to index."
Financing,The loan program that requires payment of mortgage insurance premiums (MIPs) and will make loan payments for up to six months if the borrower becomes involuntarily unemployed is called:,Veterans Administration (VA).,Federal Housing Administration (FHA).,California Department of Veterans Affairs (CalVET).,California Housing Finance Agency (CalHFA).,d,d — Only the California Housing Finance Agency (CalHFA) offers a loan program on these terms.
Financing,A graduated payment adjustable mortgage (GPAM) provides for:,deferment of certain payments on the principal during the early years of the loan.,the loan to be renegotiated at a later date by the mutual agreement of the borrower and lender.,the loan to have several short-term loans at various interest rates embedded within it.,the carryback seller to receive part of the property’s appreciated value as additional interest.,a,"a — The unique quality to a graduated payment adjustable mortgage (GPAM) is the fact that payments are increased periodically over the life of the loan, making it lower in the early years."
Financing,Which of the following is true concerning a hard money loan?,It has a lower interest rate.,It is a purchase money second,It is seller financing.,It is a cash loan. trust deed.,d,d — Hard money loans are made by a private lender to generate cash for a property owner.
Financing,A mortgage which provides for securing the amount of the initial loan together with any sums later loaned to the mortgagor is known as a(n):,installment loan.,open-ended mortgage.,wraparound mortgage.,blanket mortgage.,b,"b — An open-ended loan is one that allows for future advanced monies as part of the original commitment, such as a home equity line of credit (HELOC)."
Financing,The charging by a private lender of more than the maximum amount of interest allowed by law is known as:,unearned increment.,leverage.,usury.,onerous.,c,c — Usury is the term that describes an interest rate that exceeds the legal limit.
Financing,A buyer is most likely able to borrow 100% of the purchase price with which of the following types of financing?,Federal Housing Authority (FHA).,Veterans Administration (VA).,Fannie Mae (FNMA).,Conventional.,b,b — The Federal National Mortgage Association (FNMA) is not a primary lender and neither conventional nor Federal Housing Administration (FHA) lenders have programs that generally allow the borrower to borrow 100% of the purchase price.
Financing,A lender will generally not enforce the due-on sale clause in a promissory note under which of the following circumstances:,when a new loan is made at a lower rate of interest than the existing loan.,when high unemployment rates cause a glut of residences to be on the market.,when deflation occurs and there are more houses for sale than there are buyers.,All of the above.,d,d — All these conditions make it less likely a lender would want to accelerate the loan by enforcing the due-on clause.
Financing,Any final payment on a note which is greater than twice the amount of any one of the six regularly scheduled preceding payments is known as a:,private mortgage insurance,balloon payment.,due-on clause. (PMI) premium.,prepayment penalty.,b,b — Any loan that is not fully amortized will require a final/balloon payment of the balance owing.
Financing,A blanket encumbrance created for a real estate loan would most likely benefit the:,trustor.,trustee.,beneficiary.,borrower.,c,c — A blanket encumbrance gives the lender (the beneficiary) added security for the loan.
Financing,The maturity date of a construction loan begins from:,the date of the note.,the date construction begins.,the date of the first disbursement.,the date escrow is formally closed.,a,a — The date on the note establishes the beginning of the maturity process.
Financing,"Compared to a loan insured by a government entity, a conventional loan has a:",lower interest rate.,lower loan-to-value (LTV) ratio.,greater degree of security.,longer amortization period.,b,b — Conventional loan programs generally require a lower loan-to-value ratio.
Financing,Lenders use a debt-to-income ratio (DTI) to determine:,the degree of risk they are willing to take.,whether a borrower qualifies for a loan.,the appraised value of a property.,the title insurance fees to be charged.,b,b — The debt-to-income ratio (DTI) sets the amount of debt a borrower can carry in relation to their income. A higher DTI represents a higher degree of risk of borrower default.
Financing,"A loan broker arranged a home equity loan for $9,600. The broker must provide the borrower with which of the following?",Mortgage loan disclosure statement.,Regulation Z disclosure statement.,Loan balance statement.,Broker closing statement.,a,a — A lender who originates a home equity line of credit (HELOC) is required to deliver a copy of the mortgage loan disclosure statement to the borrower.
Financing,The mortgage insurance premium (MIP) paid on a Federal Housing Administration (FHA) loan protects:,the borrower.,the FHA.,Sallie Mae.,the lender.,d,d — The mortgage insurance required for Federal Housing Administration (FHA)-insured loans are for the protection of the lender.
Financing,A negative amortizing loan allows unpaid interest to be added to the principle balance. This is an example of:,compounding interest.,double interest.,simple interest.,flexible interest.,a,a — Compounding interest causes an additional cost of the interest expense on the interest not paid.
Financing,A prepayment penalty is the opposite of a(n):,alienation clause.,“or more” clause.,choice-of-law provision.,mediation provision.,b,"b — A prepayment penalty imposes a charge on the borrower for paying off the debt early. With an ‘or more’ clause, the borrower is allowed to prepay the loan at any time with no penalty."
Financing,"In real estate financing, the acronym “PMI” means:",point margin indicator.,private mortgage insurance.,Professional Maintenance Institute.,Property Managers Incorporated.,b,"b — PMI is the acronym for private mortgage insurance paid to a private mortgage insurer. Alternatively, a mortgage insurance premium (MIP) is paid on a government-insured loan."
Financing,A “seasoned” loan is a(n):,short-term due date for a balloon payment.,quality loan.,loan made at the beginning of spring.,loan in which there is a record of consistent and timely payments made on the loan.,d,d — A seasoned loan has a consistent history of loan repayment. An investor may feel more inclined to purchase a seasoned loan as they are confident the borrower will continue to make the required payments.
Financing,A shared appreciation mortgage (SAM) is most beneficial when:,prices of homes are steadily appreciating.,a reverse mortgage is considered.,a rollover or takeout loan is needed.,prices of homes are declining.,a,a — Steady home price appreciation makes the shared appreciation mortgage (SAM) in which the lender receives a share in the future increase in the value of a property a valid choice for both the lender and the borrower.
Financing,A lender most likely to make a loan to a borrower with a FICO score of 500 would be:,the Federal Housing Administration,a subprime lender.,an institutional bank. (FHA).,savings and loan association.,b,b — Subprime lenders are those that make loans to less qualified borrowers and will hold the loans they originate.
Financing,The sale of property in which the amount of the net proceeds is less than the principal balance owed but is accepted by the lender in full satisfaction of the loan is called a(n):,reverse mortgage.,short sale.,deed-in-lieu of foreclosure.,piggyback sale.,b,b — Short sales are those where a lender has accepted as full consideration sale proceeds that are short of the amount owed.
Financing,"An all-inclusive trust deed (AITD), also known as a(n) , reduces the seller’s risk of loss and defers more profit taxes than a regular second trust deed note.",mortgage commitment,wraparound mortgage,land sales contract,equity purchase agreement,b,b — Another name for an all-inclusive trust deed (AITD) is a wraparound mortgage.
Financing,The buyer in a sale leaseback transaction would be least concerned with the:,original cost to construct the building.,general credit of the lessee.,condition of the improvements.,location of the property.,a,"a — In any purchase, the original cost of the construction is of least importance."
Transfer of property,Which of these persons or entities may not engage in the escrow business?,A real estate broker.,A domestic or foreign corporation.,A principal in the transaction.,An attorney.,c,c — A principal in the transaction cannot perform as an escrow agent in the same transaction as they are not impartial or neutral.
Transfer of property,Escrow calculates prorations based on days in a year.,300,360,365,370,b,"b — Escrow works on a 30 day month multiplied by 12 months. Thus, for the purpose of calculating prorations, escrow considers there to be 360 days in a year."
Transfer of property,Which of the following would most likely result in the termination of a real estate sales escrow?,The mutual agreement of the buyer and the seller.,The revocation by the broker for the buyer.,The death of the seller.,The cancellation of the escrow by the seller.,a,"a — Escrow can be cancelled by mutual agreement between both principals, not unilaterally by one party. The broker is not a party to the escrow, therefore, they cannot authorize termination. In the event of the death of either party, their estate is still responsible for performing."
Transfer of property,Which of the following will not terminate an escrow?,Agreement of the parties.,The broker’s order to terminate escrow.,One of the parties’ inability to meet a contingency.,The destruction of the property during the escrow,b,"b — The broker is not a principal to the escrow and therefore has no authority to cancel it. A mutual agreement between the parties or the failure of a contingency to occur will cancel the escrow, as will the destruction of the property during the escrow."
Transfer of property,"In an escrow statement, the term “recurring costs” is in reference to:",title insurance fees.,insurance prorations.,impound account items.,recording fees.,c,"c — “Recurring” means costs that will repeat. In this question, only impounds are recurring."
